Order_Item_ID,Order_ID,Menu_ID,Quantity,Amount
1,1,18,2,603.84
2,1,134,2,927.88
3,2,39,2,352.14
4,3,485,2,566.14
5,3,139,2,728.5
6,3,458,2,790.38
7,4,26,2,708.88
8,4,265,2,626.6
9,4,274,1,446.86
10,5,49,1,330.13
11,6,66,2,682.24
12,6,140,2,430.62
13,7,289,2,856.64
14,8,400,2,855.94
15,9,394,1,298.54
16,9,21,1,154.39
17,10,495,1,183.21
18,11,132,2,699.24
19,11,226,1,121.08
20,12,433,2,832.48
21,13,326,1,132.76
22,13,284,2,674.42
23,13,54,1,223.33
24,14,194,2,794.76
25,14,35,1,491.39
26,14,74,1,489.32
27,15,65,2,768.1
28,15,336,1,310.56
29,16,495,1,183.21
30,17,441,1,308.51
31,17,296,2,700.58
32,18,423,1,233.48
33,19,379,1,363.87
34,19,374,1,431.78
35,19,390,1,271.24
36,20,348,2,840.88
37,20,240,2,263.96
38,21,426,1,224.92
39,21,431,2,483.34
40,22,9,1,403.35
41,22,289,2,856.64
42,23,149,1,347.33
43,23,11,1,453.72
44,24,354,1,115.23
45,25,93,2,474.7
46,26,450,1,384.76
47,27,41,2,471.56
48,27,61,1,227.64
49,27,115,1,235.81
50,28,29,2,414.22
51,28,225,2,403.46
52,29,304,1,426.92
53,30,70,1,262.1
54,30,448,1,303.04
55,30,31,1,289.72
56,31,139,1,364.25
57,31,184,1,491.39
58,32,7,2,586.54
59,32,225,2,403.46
60,33,87,2,752.92
61,33,389,2,878
62,33,340,1,332.97
63,34,33,1,383.5
64,34,473,2,378.02
65,35,358,2,941.22
66,35,49,2,660.26
67,36,182,2,628.06
68,37,273,1,339.59
69,37,439,2,596.82
70,37,72,2,324.42
71,38,363,1,443.89
72,39,420,1,343.31
73,40,404,1,100.37
74,41,236,2,306.94
75,41,147,2,371.52
76,42,31,2,579.44
77,42,385,1,353.81
78,43,377,1,438.28
79,43,35,1,491.39
80,43,133,2,298.42
81,44,164,2,584.08
