Order_ID,Customer_ID,Restaurant_ID,Order_Date,Subtotal,Status
1,6686,532,15-05-2025,1531.72,Delivered
2,3297,513,07-09-2025,352.14,Delivered
3,9782,1816,06-01-2024,2085.02,Delivered
4,3950,519,05-01-2026,1782.34,Delivered
5,2636,532,04-12-2024,330.13,Delivered
6,2886,1518,08-03-2025,1112.86,Delivered
7,798,921,03-12-2025,856.64,Delivered
8,5012,1558,15-01-2024,855.94,Delivered
9,5169,143,14-09-2025,452.93,Delivered
10,9502,1008,18-11-2025,183.21,Delivered
11,8505,71,02-06-2025,820.32,Delivered
12,8129,140,16-10-2024,832.48,Delivered
13,3801,1816,19-04-2026,1030.51,Delivered
14,8703,301,21-11-2024,1775.47,Delivered
15,218,1083,24-12-2024,1078.66,Delivered
16,1111,834,16-04-2024,183.21,Delivered
17,5790,698,07-09-2025,1009.09,Delivered
18,9461,1801,16-10-2024,233.48,Delivered
19,7348,51,28-09-2025,1066.89,Delivered
20,8885,1336,27-12-2025,1104.84,Delivered
21,595,1925,09-10-2025,708.26,Delivered
22,1164,1131,25-07-2024,1259.99,Delivered
23,8746,1874,17-04-2025,801.05,Delivered
24,6676,117,01-09-2024,115.23,Delivered
25,7336,848,23-12-2025,474.7,Delivered
26,3971,532,06-06-2025,384.76,Delivered
27,5706,1465,12-11-2024,935.01,Delivered
28,7699,1956,05-06-2025,817.68,Delivered
29,7411,529,20-05-2025,426.92,Delivered
30,9154,1325,19-07-2025,854.86,Delivered
31,7274,428,23-11-2024,855.64,Delivered
32,212,1144,02-08-2024,990,Delivered
33,1815,951,31-08-2025,1963.89,Delivered
34,5597,1946,07-02-2026,761.52,Delivered
35,6787,1224,03-05-2025,1601.48,Delivered
36,7416,706,30-12-2024,628.06,Delivered
37,4869,249,25-11-2025,1260.83,Delivered
38,9889,326,10-08-2025,443.89,Delivered
39,5986,476,16-04-2024,343.31,Delivered
40,7091,519,02-05-2025,100.37,Delivered
41,5642,1701,17-03-2024,678.46,Delivered
42,608,1133,26-10-2025,933.25,Delivered
43,8923,1064,26-07-2024,1228.09,Delivered
44,992,249,30-06-2024,941.81,Delivered
45,4903,1718,03-02-2026,1456.73,Delivered
46,8856,1456,14-08-2025,885.04,Delivered
47,5892,150,21-05-2024,1012.76,Delivered
48,5191,1426,03-06-2026,647.26,Delivered
49,8773,1102,10-07-2025,382.17,Delivered
50,4413,182,24-11-2025,824.45,Delivered
51,6385,938,02-03-2026,781.94,Delivered
52,7581,1002,23-01-2026,1287.55,Delivered
53,3533,364,09-10-2025,884.57,Delivered
54,4573,1890,25-04-2025,1022.16,Delivered
55,3101,1701,05-05-2024,1764.56,Delivered
56,3653,1349,22-05-2024,1699.82,Delivered
57,9499,948,13-09-2024,2038.12,Delivered
58,8834,836,19-09-2025,442.65,Delivered
59,59,1318,22-02-2024,523.6,Delivered
60,3327,1104,11-06-2024,1403.71,Delivered
61,149,140,11-11-2024,1184.1,Delivered
62,8254,1054,21-08-2025,1309.96,Delivered
63,6846,1617,25-06-2024,2095.98,Delivered
64,6335,940,21-02-2024,1160.26,Delivered
65,8920,116,25-03-2025,774.72,Delivered
66,3498,1581,06-02-2025,702.9,Delivered
67,270,437,22-05-2026,1343.55,Delivered
68,2495,532,10-06-2025,166.68,Delivered
69,6640,361,15-11-2024,1717.07,Delivered
70,7097,662,06-04-2026,129.84,Delivered
71,567,1513,22-08-2024,194.29,Delivered
72,3849,1059,26-02-2026,744.67,Delivered
73,5945,442,07-05-2026,573.76,Delivered
74,5428,1752,09-04-2025,1443.26,Delivered
75,1706,1755,11-10-2025,873.76,Delivered
76,1308,1732,07-02-2024,976.21,Delivered
77,986,500,06-07-2024,1210.29,Delivered
78,1703,923,28-03-2025,741.18,Delivered
79,6222,1964,20-04-2026,433.5,Delivered
80,392,1548,02-03-2025,1544.04,Delivered
81,7711,58,13-06-2026,454.06,Delivered
82,7055,142,23-12-2024,303.04,Delivered
83,4487,951,05-06-2024,474.23,Delivered
84,4166,1822,17-05-2026,153.47,Delivered
85,251,1091,04-12-2025,880.72,Cancelled
86,3996,1024,08-11-2025,1007.38,Delivered
87,1545,234,15-09-2024,1323.3,Delivered
88,8186,1331,21-02-2026,259.68,Delivered
89,5191,1646,31-12-2024,591.56,Delivered
90,9487,769,01-07-2024,137.82,Delivered
91,8993,1554,14-03-2024,1049.14,Delivered
92,7217,1927,12-06-2026,699.43,Delivered
93,7047,442,19-06-2024,444.19,Delivered
94,7819,1064,24-01-2026,399.79,Delivered
95,9833,555,05-03-2024,238.62,Delivered
96,4048,1592,17-04-2026,1271.09,Delivered
97,9837,1169,10-02-2025,100.37,Delivered
98,8288,1278,15-10-2024,1277.24,Delivered
99,3449,1601,02-09-2025,1679.01,Delivered
100,431,803,19-06-2025,538.39,Delivered
101,6742,1831,02-11-2025,266.89,Delivered
102,767,1084,11-06-2025,640.42,Delivered
103,4463,345,18-11-2025,1013.54,Delivered
104,1932,1404,24-07-2025,446.01,Delivered
105,2792,1592,17-04-2024,353.09,Delivered
106,4734,628,20-09-2024,545.8,Delivered
107,7728,1716,07-05-2024,1280.43,Cancelled
108,4198,1816,31-12-2024,1285.86,Delivered
109,7976,533,11-02-2026,694.78,Delivered
110,9812,1960,22-01-2025,861.53,Delivered
111,6201,305,17-01-2026,699.34,Delivered
112,7700,439,26-09-2024,432.17,Delivered
113,8901,399,02-01-2024,100.66,Delivered
114,2521,1785,30-12-2024,648.22,Cancelled
115,3539,1325,17-08-2025,948.46,Delivered
116,299,328,20-05-2024,1178.76,Delivered
117,7055,898,04-03-2025,986.82,Delivered
118,8573,1236,12-03-2024,775.55,Delivered
119,4000,184,14-05-2025,966.93,Delivered
120,3608,1759,12-01-2024,564.92,Delivered
121,6008,1617,18-05-2024,2250.74,Delivered
122,9157,1039,06-05-2026,692.52,Delivered
123,4161,1934,26-09-2025,1601.88,Delivered
124,7366,848,26-05-2026,600.98,Delivered
125,6833,1962,14-04-2025,2395.62,Delivered
126,7385,1347,26-08-2024,1206.91,Delivered
127,4110,1278,22-01-2024,1121.17,Delivered
